,Dis No,Year,Neighbors,Total Deaths
441,2014-0052-USA,2014,2014-0048-USA,9.0
442,2014-0052-USA,2014,2014-0072-USA,25.0
443,2014-0052-USA,2014,2014-0053-USA,13.0
444,2014-0052-USA,2014,2014-0100-USA,12.0
445,2014-0053-USA,2014,2014-0126-USA,40.0
446,2014-0053-USA,2014,2014-0048-USA,9.0
447,2014-0053-USA,2014,2014-0072-USA,25.0
448,2014-0053-USA,2014,2014-0052-USA,16.0
449,2014-0053-USA,2014,2014-0100-USA,12.0
450,2014-0100-USA,2014,2014-0126-USA,40.0
451,2014-0100-USA,2014,2014-0192-USA,
452,2014-0100-USA,2014,2014-0048-USA,9.0
453,2014-0100-USA,2014,2014-0072-USA,25.0
454,2014-0100-USA,2014,2014-0052-USA,16.0
455,2014-0100-USA,2014,2014-0053-USA,13.0
456,2014-0459-USA,2014,2014-0482-USA,3.0
457,2014-0459-USA,2014,2014-0444-USA,2.0
458,2014-0459-USA,2014,2014-0310-USA,1.0
459,2014-0459-USA,2014,2015-0046-USA,10.0
460,2014-0459-USA,2014,2015-0072-USA,22.0
461,2014-0459-USA,2014,2015-0026-USA,2.0
462,2014-0459-USA,2014,2015-0025-USA,15.0
463,2014-0459-USA,2014,2015-0073-USA,30.0
464,2014-0310-USA,2014,2014-0263-USA,
465,2014-0310-USA,2014,2014-0444-USA,2.0
466,2014-0310-USA,2014,2014-0192-USA,
467,2014-0310-USA,2014,2014-0540-USA,2.0
468,2014-0310-USA,2014,2014-0459-USA,13.0
469,2014-0390-VNM,2014,2014-0227-VNM,27.0
470,2014-0390-VNM,2014,2014-0474-VNM,
471,2014-0474-VNM,2014,2014-0390-VNM,11.0
472,2014-0306-SRB,2014,2014-0329-SRB,4.0
473,2014-0306-SRB,2014,2014-0164-SRB,51.0
474,2014-0191-SSD,2014,2014-0235-SSD,127.0
475,2014-0235-SSD,2014,2014-0191-SSD,22.0
476,2015-0211-USA,2015,2015-0155-USA,4.0
477,2015-0211-USA,2015,2015-0180-USA,1.0
478,2015-0211-USA,2015,2015-0245-USA,
479,2015-0211-USA,2015,2015-0138-USA,3.0
480,2015-0211-USA,2015,2015-0326-USA,4.0
481,2015-0211-USA,2015,2015-0123-USA,1.0
482,2015-0211-USA,2015,2015-0400-USA,4.0
483,2015-0211-USA,2015,2015-0046-USA,10.0
484,2015-0211-USA,2015,2015-0177-USA,6.0
485,2015-0211-USA,2015,2015-0073-USA,30.0
486,2015-0211-USA,2015,2015-0122-USA,13.0
487,2015-0488-USA,2015,2015-0326-USA,4.0
488,2015-0488-USA,2015,2015-0400-USA,4.0
489,2015-0488-USA,2015,2015-0558-USA,50.0
490,2015-0488-USA,2015,2015-0531-USA,18.0
491,2015-0488-USA,2015,2015-0459-USA,25.0
492,2015-0488-USA,2015,2016-0012-USA,
493,2015-0488-USA,2015,2016-0010-USA,50.0
494,2015-0155-USA,2015,2015-0211-USA,4.0
495,2015-0155-USA,2015,2015-0180-USA,1.0
496,2015-0155-USA,2015,2015-0245-USA,
497,2015-0155-USA,2015,2015-0138-USA,3.0
498,2015-0155-USA,2015,2015-0326-USA,4.0
499,2015-0155-USA,2015,2015-0123-USA,1.0
500,2015-0155-USA,2015,2015-0046-USA,10.0
501,2015-0155-USA,2015,2015-0072-USA,22.0
502,2015-0155-USA,2015,2015-0026-USA,2.0
503,2015-0155-USA,2015,2015-0177-USA,6.0
504,2015-0155-USA,2015,2015-0025-USA,15.0
